積載日,トラック名,製品コード,製品名,容器数,合計数量,納期,体積積載率,重量積載率,,,
2025/10/30,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",14,42,2025/10/30,77.90%,0%,,,
2025/10/30,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",2,6,2025/10/30,77.90%,0%,,,
2025/10/30,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",19,57,2025/10/30,93.70%,0%,,,
2025/10/30,NO_3_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),7,56,2025/10/31,83.30%,0%,,,
2025/10/30,NO_3_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),10,60,2025/10/31,83.30%,0%,,,
2025/10/30,NO_3_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",5,40,2025/10/31,83.30%,0%,,,
2025/10/30,NO_3_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",7,56,2025/10/31,83.30%,0%,,,
,,,,,,,,,,,
2025/10/31,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",14,42,2025/10/31,69.30%,0%,,,
2025/10/31,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025/10/31,69.30%,0%,,,
2025/10/31,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",19,57,2025/10/31,93.70%,0%,,,
